interaction,topology,amplitude,squared_amplitude
AntiPart t_gam_6886(X)  b_del_6180(X)^(*)  to  AntiPart t_eps_5566(X)^(*)  b_eta_5831(X),"Vertex INDEX_[ID]:b ( INDEX_[ID] ) , b ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart t ( INDEX_[ID] ) , AntiPart t ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\tau_21565,%gam_6883,%del_6178}*gamma_{%\tau_21565,%gam_6884,%eta_5828}*b_{j_8043,%gam_6884}(p_4)_u^(*)*b_{l_8041,%eta_5828}(p_2)_u*t_{k_8041,%gam_6883}(p_1)_v^(*)*t_{i_8043,%del_6178}(p_3)_v/(m_t^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_b ^ 2 * m_t ^ 2 + ( - 8 ) * m_b ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_t ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_t ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart u_beta_678(X)  u_gam_1409(X)^(*)  to  u_del_1021(X)  AntiPart u_eps_773(X)^(*),"Vertex INDEX_[ID]:u ( INDEX_[ID] ) , u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart u ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","2/9*i*e^2*gamma_{+%\mu_3027,%eta_1654,%alpha_1304}*gamma_{%\mu_3027,%eta_1655,%eps_770}*u_{i_981,%eta_1655}(p_3)_u^(*)*u_{l_979,%eps_770}(p_2)_u*u_{j_981,%alpha_1304}(p_4)_v*u_{k_979,%eta_1654}(p_1)_v^(*)/(m_u^2 + -s_23 + 1/2*reg_prop)",4 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_u ^ 4 + ( - 8 ) * m_u ^ 2 * s_14 + ( - 8 ) * m_u ^ 2 * s_23 + 8 * s_13 * s_24 + 8 * s_12 * s_34 ) * ( m_u ^ 2 + - s_23 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart d_eta_1212(X)  d_alpha_1062(X)^(*)  to  AntiPart d_beta_889(X)^(*)  d_gam_2593(X),"Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/18*i*e^2*gamma_{+%\nu_3939,%gam_2544,%del_1753}*gamma_{%\nu_3939,%gam_2545,%eta_1235}*d_{k_1235,%gam_2544}(p_1)_v^(*)*d_{l_1235,%del_1753}(p_2)_u*d_{j_1237,%gam_2545}(p_4)_u^(*)*d_{i_1237,%eta_1235}(p_3)_v/(m_d^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_d ^ 4 + 8 * m_d ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_d ^ 2 * s_34 ) * ( m_d ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart A_\sigma_10710(X)  AntiPart A_\sigma_11029(X)  to  AntiPart s_del_9667(X)^(*)  s_eps_4328(X),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , s ( INDEX_[ID] ) , AntiPart OffShell s ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell s ( INDEX_[ID] ) ,","-1/18*i*e^2*(p_2_%\sigma_11154*gamma_{%\sigma_11150,%eta_13805,%del_9602}*gamma_{%\sigma_11152,%eta_13779,%eta_13804}*gamma_{+%\sigma_11154,%eta_13804,%eta_13805}*A_{l_2631,+%\sigma_11152}(p_2)*A_{k_2631,+%\sigma_11150}(p_1)*s_{i_2633,%del_9602}(p_3)_v*s_{j_2633,%eta_13779}(p_4)_u^(*) + (-2)*p_4_%\sigma_11152*gamma_{%\sigma_11150,%eta_13787,%del_9605}*A_{l_2631,+%\sigma_11152}(p_2)*A_{k_2631,+%\sigma_11150}(p_1)*s_{i_2633,%del_9605}(p_3)_v*s_{j_2633,%eta_13787}(p_4)_u^(*))/(s_13 + -1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 2 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_s ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_s ^ 2 * ( m_s ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart b_eta_445(X)  b_alpha_365(X)^(*)  to  AntiPart mu_del_532(X)^(*)  mu_eps_320(X),"Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart b ( INDEX_[ID] ) , b ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\tau_1261,%gam_788,%beta_291}*gamma_{%\tau_1261,%gam_789,%del_530}*b_{k_382,%gam_789}(p_1)_v^(*)*b_{l_382,%del_530}(p_2)_u*mu_{j_384,%gam_788}(p_4)_u^(*)*mu_{i_384,%beta_291}(p_3)_v/(m_b^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_b ^ 2 * m_mu ^ 2 + 8 * m_mu ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_b ^ 2 * s_34 ) * ( m_b ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
s_eta_2833(X)^(*)  AntiPart s_alpha_2124(X)  to  tt_beta_1216(X)  AntiPart tt_gam_2082(X)^(*),"Vertex INDEX_[ID]:tt ( INDEX_[ID] ) , AntiPart tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:s ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\sigma_4475,%gam_2078,%beta_1213}*gamma_{%\sigma_4475,%gam_2079,%eps_1323}*s_{l_1617,%gam_2078}(p_2)_v^(*)*s_{k_1617,%beta_1213}(p_1)_u*tt_{i_1619,%gam_2079}(p_3)_u^(*)*tt_{j_1619,%eps_1323}(p_4)_v/(m_s^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_tt ^ 2 + 8 * m_tt ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_s ^ 2 * s_34 ) * ( m_s ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart tt_eta_682(X)  tt_alpha_569(X)^(*)  to  AntiPart t_del_825(X)^(*)  t_eps_537(X),"Vertex INDEX_[ID]:AntiPart t ( INDEX_[ID] ) , t ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart tt ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/3*i*e^2*gamma_{%\tau_1982,%gam_1251,%del_822}*gamma_{+%\tau_1982,%gam_1252,%del_823}*t_{j_692,%gam_1251}(p_4)_u^(*)*t_{i_692,%del_822}(p_3)_v*tt_{l_690,%del_823}(p_2)_u*tt_{k_690,%gam_1252}(p_1)_v^(*)/(m_tt^2 + s_12 + 1/2*reg_prop)",1 / 9 * e ^ 4 * ( INDEX_[ID] * m_t ^ 2 * m_tt ^ 2 + 8 * m_t ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_tt ^ 2 * s_34 ) * ( m_tt ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
e_gam_239(X)^(*)  AntiPart e_beta_39(X)  to  AntiPart e_alpha_195(X)^(*)  e_beta_47(X),"Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/2*i*e^2*gamma_{+%\sigma_450,%gam_586,%eps_71}*gamma_{%\sigma_450,%gam_587,%gam_588}*e_{l_35,%eps_71}(p_3)_v*e_{i_47,%gam_587}(p_4)_u^(*)*e_{j_25,%gam_588}(p_1)_u*e_{k_35,%gam_586}(p_2)_v^(*)/(m_e^2 + -s_23 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_e ^ 4 + ( - 8 ) * m_e ^ 2 * s_14 + ( - 8 ) * m_e ^ 2 * s_23 + 8 * s_13 * s_24 + 8 * s_12 * s_34 ) * ( m_e ^ 2 + - s_23 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart e_beta_1619(X)  e_gam_6141(X)^(*)  to  A_\sigma_7843(X)  AntiPart A_\sigma_8204(X),"Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell e ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell e ( INDEX_[ID] ) ,","i*e^2*(p_2_%\sigma_8055*gamma_{%\sigma_8053,%gam_6618,%gam_6619}*A_{j_2105,+%\sigma_8055}(p_4)^(*)*A_{i_2125,+%\sigma_8053}(p_3)^(*)*e_{l_2113,%gam_6619}(p_2)_u*e_{k_2113,%gam_6618}(p_1)_v^(*) + -1/2*p_4_%\nu_5667*gamma_{+%\nu_5667,%gam_6662,%gam_6663}*gamma_{%\sigma_8053,%gam_6623,%gam_6662}*gamma_{%\sigma_8055,%gam_6663,%gam_6624}*A_{j_2105,+%\sigma_8055}(p_4)^(*)*A_{i_2125,+%\sigma_8053}(p_3)^(*)*e_{l_2113,%gam_6624}(p_2)_u*e_{k_2113,%gam_6623}(p_1)_v^(*))/(s_13 + -1/2*reg_prop)",e ^ 4 * s_14 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + 2 * i * e ^ 2 * ( i * e ^ 2 * m_e ^ 2 * ( m_e ^ 2 + 1 / 2 * s_12 ) / ( s_13 + - 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_e ^ 2 * ( s_14 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart mu_del_11583(X)  AntiPart A_\tau_40705(X)  to  AntiPart mu_alpha_13617(X)^(*)  AntiPart A_\tau_40819(X),"Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell mu ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart mu ( INDEX_[ID] ) , OffShell mu ( INDEX_[ID] ) ,","-i*e^2*(p_1_%\lambda_42561*gamma_{%\tau_40778,%eta_18236,%alpha_13743}*A_{j_15475,+%\lambda_42561}(p_4)^(*)*A_{l_15473,+%\tau_40778}(p_2)*mu_{k_15473,%eta_18236}(p_1)_v^(*)*mu_{i_15475,%alpha_13743}(p_3)_v + -1/2*p_4_%\rho_40242*gamma_{%\lambda_42561,%eta_18239,%eta_18266}*gamma_{+%\rho_40242,%eta_18266,%eta_18267}*gamma_{%\tau_40778,%eta_18267,%alpha_13745}*A_{j_15475,+%\lambda_42561}(p_4)^(*)*A_{l_15473,+%\tau_40778}(p_2)*mu_{k_15473,%eta_18239}(p_1)_v^(*)*mu_{i_15475,%alpha_13745}(p_3)_v)/(s_23 + -1/2*reg_prop)",2 * e ^ 4 * s_14 * s_34 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + ( - 4 ) * i * e ^ 2 * ( i * e ^ 2 * m_mu ^ 2 * ( m_mu ^ 2 + - 1 / 2 * s_13 ) / ( s_23 + - 1 / 2 * reg_prop ) + - 1 / INDEX_[ID] * i * e ^ 2 * m_mu ^ 2 * ( INDEX_[ID] * s_14 + ( - 8 ) * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
AntiPart d_eps_5051(X)  c_eta_6040(X)^(*)  to  AntiPart d_alpha_5278(X)^(*)  c_beta_4957(X),"Vertex INDEX_[ID]:c ( INDEX_[ID] ) , c ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , AntiPart d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\nu_20438,%eta_6038,%beta_4954}*gamma_{%\nu_20438,%gam_12196,%gam_12197}*c_{j_6987,%eta_6038}(p_4)_u^(*)*c_{l_6985,%beta_4954}(p_2)_u*d_{i_6987,%gam_12197}(p_3)_v*d_{k_6985,%gam_12196}(p_1)_v^(*)/(m_d^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_c ^ 2 * m_d ^ 2 + ( - 8 ) * m_c ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_d ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_d ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart u_beta_678(X)  u_gam_1409(X)^(*)  to  AntiPart u_del_1059(X)^(*)  u_eps_809(X),"Vertex INDEX_[ID]:u ( INDEX_[ID] ) , u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart u ( INDEX_[ID] ) , AntiPart u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","2/9*i*e^2*gamma_{+%\mu_3146,%eta_1808,%beta_698}*gamma_{%\mu_3146,%gam_1450,%gam_1451}*u_{j_993,%gam_1450}(p_4)_u^(*)*u_{i_993,%beta_698}(p_3)_v*u_{k_991,%eta_1808}(p_1)_v^(*)*u_{l_991,%gam_1451}(p_2)_u/(m_u^2 + -s_13 + 1/2*reg_prop)",4 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_u ^ 4 + ( - 8 ) * m_u ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_u ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_u ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart A_\nu_458(X)  AntiPart A_\nu_599(X)  to  e_eta_782(X)  AntiPart e_alpha_621(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart e ( INDEX_[ID] ) , OffShell e ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , e ( INDEX_[ID] ) , AntiPart OffShell e ( INDEX_[ID] ) ,","1/2*i*e^2*(p_2_%\lambda_634*gamma_{+%\lambda_634,%gam_3260,%gam_3261}*gamma_{%\sigma_2254,%gam_3261,%del_1579}*gamma_{%\sigma_2256,%gam_3231,%gam_3260}*A_{k_197,+%\sigma_2256}(p_1)*A_{l_197,+%\sigma_2254}(p_2)*e_{i_199,%gam_3231}(p_3)_u^(*)*e_{j_199,%del_1579}(p_4)_v + (-2)*p_4_%\sigma_2254*gamma_{%\sigma_2256,%gam_3237,%del_1584}*A_{k_197,+%\sigma_2256}(p_1)*A_{l_197,+%\sigma_2254}(p_2)*e_{i_199,%gam_3237}(p_3)_u^(*)*e_{j_199,%del_1584}(p_4)_v)/(s_13 + -1/2*reg_prop)",2 * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + ( - 2 ) * i * e ^ 2 * ( i * e ^ 2 * m_e ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_e ^ 2 * ( m_e ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
e_del_14771(X)^(*)  AntiPart A_\nu_43099(X)  to  e_gam_20441(X)  A_\rho_42877(X),"Vertex INDEX_[ID]:e ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell e ( INDEX_[ID] ) , Vertex INDEX_[ID]:e ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell e ( INDEX_[ID] ) ,","-i*e^2*(p_3_%\sigma_47157*gamma_{%\tau_44112,%gam_20334,%del_15354}*A_{l_16803,+%\tau_44112}(p_2)*A_{j_16795,+%\sigma_47157}(p_4)^(*)*e_{k_16803,%del_15354}(p_1)_u*e_{i_16815,%gam_20334}(p_3)_u^(*) + 1/2*p_4_%\lambda_43244*gamma_{+%\lambda_43244,%gam_20366,%gam_20367}*gamma_{%\sigma_47157,%gam_20337,%gam_20366}*gamma_{%\tau_44112,%gam_20367,%del_15356}*A_{l_16803,+%\tau_44112}(p_2)*A_{j_16795,+%\sigma_47157}(p_4)^(*)*e_{k_16803,%del_15356}(p_1)_u*e_{i_16815,%gam_20337}(p_3)_u^(*))/(s_12 + 1/2*reg_prop)",2 * e ^ 4 * s_14 * s_34 * ( s_12 + 1 / 2 * reg_prop ) ^ ( - 2 ) + ( - 4 ) * i * e ^ 2 * ( i * e ^ 2 * m_e ^ 2 * ( m_e ^ 2 + - 1 / 2 * s_13 ) / ( s_12 + 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_e ^ 2 * ( s_14 + ( - 2 ) * s_34 ) / ( s_12 + 1 / 2 * reg_prop ) ) / ( s_12 + 1 / 2 * reg_prop )
mu_beta_1588(X)^(*)  AntiPart mu_gam_2630(X)  to  AntiPart A_\tau_5847(X)  A_\mu_5764(X),"Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell mu ( INDEX_[ID] ) , Vertex INDEX_[ID]:mu ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell mu ( INDEX_[ID] ) ,","-i*e^2*(p_2_%\lambda_6478*gamma_{%\sigma_5635,%gam_3473,%beta_2064}*A_{i_2025,+%\sigma_5635}(p_3)^(*)*A_{j_2025,+%\lambda_6478}(p_4)^(*)*mu_{l_2023,%gam_3473}(p_2)_v^(*)*mu_{k_2023,%beta_2064}(p_1)_u + -1/2*p_4_%\rho_5427*gamma_{%\lambda_6478,%gam_3476,%gam_3507}*gamma_{+%\rho_5427,%gam_3507,%gam_3508}*gamma_{%\sigma_5635,%gam_3508,%beta_2066}*A_{i_2025,+%\sigma_5635}(p_3)^(*)*A_{j_2025,+%\lambda_6478}(p_4)^(*)*mu_{l_2023,%gam_3476}(p_2)_v^(*)*mu_{k_2023,%beta_2066}(p_1)_u)/(s_13 + -1/2*reg_prop)",e ^ 4 * s_14 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + 2 * i * e ^ 2 * ( i * e ^ 2 * m_mu ^ 2 * ( m_mu ^ 2 + 1 / 2 * s_12 ) / ( s_13 + - 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_mu ^ 2 * ( s_14 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
b_beta_1395(X)^(*)  AntiPart b_gam_4316(X)  to  A_\nu_5302(X)  AntiPart A_\nu_5360(X),"Vertex INDEX_[ID]:AntiPart b ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell b ( INDEX_[ID] ) , Vertex INDEX_[ID]:b ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell b ( INDEX_[ID] ) ,","-1/9*i*e^2*(p_2_%\tau_7058*gamma_{%\tau_7060,%gam_4797,%del_3217}*A_{j_1995,+%\tau_7058}(p_4)^(*)*A_{i_1995,+%\tau_7060}(p_3)^(*)*b_{k_1993,%del_3217}(p_1)_u*b_{l_1993,%gam_4797}(p_2)_v^(*) + -1/2*p_4_%\lambda_5504*gamma_{+%\lambda_5504,%gam_4833,%gam_4834}*gamma_{%\tau_7058,%gam_4800,%gam_4833}*gamma_{%\tau_7060,%gam_4834,%del_3219}*A_{j_1995,+%\tau_7058}(p_4)^(*)*A_{i_1995,+%\tau_7060}(p_3)^(*)*b_{k_1993,%del_3219}(p_1)_u*b_{l_1993,%gam_4800}(p_2)_v^(*))/(s_13 + -1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * s_14 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + 2 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_b ^ 2 * ( m_b ^ 2 + 1 / 2 * s_12 ) / ( s_13 + - 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_b ^ 2 * ( s_14 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart s_del_7209(X)  AntiPart A_\tau_24698(X)  to  AntiPart s_eps_7587(X)^(*)  A_\mu_23663(X),"Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell s ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell s ( INDEX_[ID] ) ,","-1/9*i*e^2*(p_1_%\rho_27765*gamma_{%\sigma_24830,%eta_12850,%eta_12851}*A_{j_9157,+%\rho_27765}(p_4)^(*)*A_{l_9155,+%\sigma_24830}(p_2)*s_{i_9157,%eta_12851}(p_3)_v*s_{k_9155,%eta_12850}(p_1)_v^(*) + -1/2*p_4_%\sigma_24832*gamma_{%\rho_27765,%eta_12855,%eta_12903}*gamma_{%\sigma_24830,%eta_12904,%eta_12856}*gamma_{+%\sigma_24832,%eta_12903,%eta_12904}*A_{j_9157,+%\rho_27765}(p_4)^(*)*A_{l_9155,+%\sigma_24830}(p_2)*s_{i_9157,%eta_12856}(p_3)_v*s_{k_9155,%eta_12855}(p_1)_v^(*))/(s_23 + -1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_14 * s_34 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_s ^ 2 * ( m_s ^ 2 + - 1 / 2 * s_13 ) / ( s_23 + - 1 / 2 * reg_prop ) + - 1 / INDEX_[ID] * i * e ^ 2 * m_s ^ 2 * ( INDEX_[ID] * s_14 + ( - 8 ) * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  tt_gam_18457(X)  AntiPart tt_del_11137(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart tt ( INDEX_[ID] ) , OffShell tt ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , AntiPart OffShell tt ( INDEX_[ID] ) ,","2/9*i*e^2*(p_2_%\tau_10667*gamma_{%\sigma_13359,%gam_18377,%del_11050}*gamma_{%\tau_10665,%gam_18343,%gam_18376}*gamma_{+%\tau_10667,%gam_18376,%gam_18377}*A_{k_2921,+%\tau_10665}(p_1)*A_{l_2921,+%\sigma_13359}(p_2)*tt_{j_2923,%del_11050}(p_4)_v*tt_{i_2923,%gam_18343}(p_3)_u^(*) + (-2)*p_4_%\sigma_13359*gamma_{%\tau_10665,%gam_18349,%del_11053}*A_{k_2921,+%\tau_10665}(p_1)*A_{l_2921,+%\sigma_13359}(p_2)*tt_{j_2923,%del_11053}(p_4)_v*tt_{i_2923,%gam_18349}(p_3)_u^(*))/(s_13 + -1/2*reg_prop)",INDEX_[ID] / INDEX_[ID] * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - INDEX_[ID] / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_tt ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_tt ^ 2 * ( m_tt ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart d_gam_3796(X)  d_del_2715(X)^(*)  to  AntiPart b_alpha_1614(X)^(*)  b_beta_1355(X),"Vertex INDEX_[ID]:AntiPart b ( INDEX_[ID] ) , b ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/18*i*e^2*gamma_{+%\tau_5336,%gam_3848,%del_2749}*gamma_{%\tau_5336,%gam_3849,%eps_1549}*b_{j_1908,%gam_3849}(p_4)_u^(*)*b_{i_1908,%eps_1549}(p_3)_v*d_{l_1906,%del_2749}(p_2)_u*d_{k_1906,%gam_3848}(p_1)_v^(*)/(m_d^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_b ^ 2 * m_d ^ 2 + 8 * m_b ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_d ^ 2 * s_34 ) * ( m_d ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
A_\lambda_1692(X)  AntiPart A_\lambda_2114(X)  to  mu_beta_643(X)  AntiPart mu_gam_4683(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart mu ( INDEX_[ID] ) , OffShell mu ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , AntiPart OffShell mu ( INDEX_[ID] ) ,","1/2*i*e^2*(p_2_%\nu_1823*gamma_{%\lambda_2039,%eta_2226,%eta_2255}*gamma_{+%\nu_1823,%eta_2255,%eta_2256}*gamma_{%\sigma_3987,%eta_2256,%gam_4639}*A_{l_617,+%\sigma_3987}(p_2)*A_{k_617,+%\lambda_2039}(p_1)*mu_{j_619,%gam_4639}(p_4)_v*mu_{i_619,%eta_2226}(p_3)_u^(*) + (-2)*p_4_%\sigma_3987*gamma_{%\lambda_2039,%eta_2234,%gam_4642}*A_{l_617,+%\sigma_3987}(p_2)*A_{k_617,+%\lambda_2039}(p_1)*mu_{j_619,%gam_4642}(p_4)_v*mu_{i_619,%eta_2234}(p_3)_u^(*))/(s_13 + -1/2*reg_prop)",2 * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + ( - 2 ) * i * e ^ 2 * ( i * e ^ 2 * m_mu ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_mu ^ 2 * ( m_mu ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
