Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  A_\rho_448(X)  to  AntiPart e_alpha_527(X)^(*)  e_beta_293(X) : Vertex V_0:A(X_2), e(X_4), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_3),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\sigma_1855*gamma_{%\sigma_1851,%gam_2729,%gam_2762}*gamma_{%\sigma_1853,%gam_2763,%del_1257}*gamma_{+%\sigma_1855,%gam_2762,%gam_2763}*A_{l_163,+%\sigma_1851}(p_2)*A_{k_163,+%\sigma_1853}(p_1)*e_{j_165,%gam_2729}(p_4)_u^(*)*e_{i_165,%del_1257}(p_3)_v + (-2)*p_4_%\sigma_1851*gamma_{%\sigma_1853,%gam_2735,%del_1260}*A_{l_163,+%\sigma_1851}(p_2)*A_{k_163,+%\sigma_1853}(p_1)*e_{j_165,%gam_2735}(p_4)_u^(*)*e_{i_165,%del_1260}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  AntiPart A_\nu_599(X)  to  e_eta_782(X)  AntiPart e_alpha_621(X)^(*) : Vertex V_1:A(X_2), e(X_3), AntiPart  OffShell e(V_1), Vertex V_0:A(X_1), AntiPart e(X_4),  OffShell e(V_0), : -1/2*i*e^2*(p_2_%\tau_841*gamma_{%\sigma_2210,%gam_3210,%del_1547}*gamma_{%\sigma_2212,%gam_3184,%gam_3209}*gamma_{+%\tau_841,%gam_3209,%gam_3210}*A_{k_197,+%\sigma_2210}(p_1)*A_{l_197,+%\sigma_2212}(p_2)*e_{i_199,%gam_3184}(p_3)_u^(*)*e_{j_199,%del_1547}(p_4)_v + (-2)*p_3_%\sigma_2212*gamma_{%\sigma_2210,%gam_3192,%del_1550}*A_{k_197,+%\sigma_2210}(p_1)*A_{l_197,+%\sigma_2212}(p_2)*e_{i_199,%gam_3192}(p_3)_u^(*)*e_{j_199,%del_1550}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  AntiPart A_\nu_599(X)  to  e_eta_782(X)  AntiPart e_alpha_621(X)^(*) : Vertex V_0:A(X_2), AntiPart e(X_4),  OffShell e(V_0), Vertex V_1:A(X_1), e(X_3), AntiPart  OffShell e(V_1), : 1/2*i*e^2*(p_2_%\lambda_634*gamma_{+%\lambda_634,%gam_3260,%gam_3261}*gamma_{%\sigma_2254,%gam_3261,%del_1579}*gamma_{%\sigma_2256,%gam_3231,%gam_3260}*A_{k_197,+%\sigma_2256}(p_1)*A_{l_197,+%\sigma_2254}(p_2)*e_{i_199,%gam_3231}(p_3)_u^(*)*e_{j_199,%del_1579}(p_4)_v + (-2)*p_4_%\sigma_2254*gamma_{%\sigma_2256,%gam_3237,%del_1584}*A_{k_197,+%\sigma_2256}(p_1)*A_{l_197,+%\sigma_2254}(p_2)*e_{i_199,%gam_3237}(p_3)_u^(*)*e_{j_199,%del_1584}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  AntiPart A_\nu_599(X)  to  AntiPart e_beta_399(X)^(*)  e_gam_3839(X) : Vertex V_1:A(X_2), AntiPart e(X_3),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_4), AntiPart  OffShell e(V_0), : 1/2*i*e^2*(p_2_%\nu_638*gamma_{+%\nu_638,%gam_3704,%gam_3705}*gamma_{%\sigma_2550,%gam_3671,%gam_3704}*gamma_{%\sigma_2552,%gam_3705,%del_1854}*A_{l_227,+%\sigma_2552}(p_2)*A_{k_227,+%\sigma_2550}(p_1)*e_{i_229,%del_1854}(p_3)_v*e_{j_229,%gam_3671}(p_4)_u^(*) + (-2)*p_3_%\sigma_2552*gamma_{%\sigma_2550,%gam_3677,%del_1859}*A_{l_227,+%\sigma_2552}(p_2)*A_{k_227,+%\sigma_2550}(p_1)*e_{i_229,%del_1859}(p_3)_v*e_{j_229,%gam_3677}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  AntiPart A_\nu_599(X)  to  AntiPart e_beta_399(X)^(*)  e_gam_3839(X) : Vertex V_0:A(X_2), e(X_4), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_3),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_629*gamma_{+%\mu_629,%gam_3764,%gam_3765}*gamma_{%\sigma_2593,%gam_3725,%gam_3764}*gamma_{%\sigma_2595,%gam_3765,%del_1884}*A_{l_227,+%\sigma_2593}(p_2)*A_{k_227,+%\sigma_2595}(p_1)*e_{i_229,%del_1884}(p_3)_v*e_{j_229,%gam_3725}(p_4)_u^(*) + (-2)*p_4_%\sigma_2593*gamma_{%\sigma_2595,%gam_3731,%del_1887}*A_{l_227,+%\sigma_2593}(p_2)*A_{k_227,+%\sigma_2595}(p_1)*e_{i_229,%del_1887}(p_3)_v*e_{j_229,%gam_3731}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  A_\tau_1860(X)  to  mu_eps_898(X)  AntiPart mu_eta_1232(X)^(*) : Vertex V_0:A(X_2), mu(X_3), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_1), AntiPart mu(X_4),  OffShell mu(V_1), : -1/2*i*e^2*(p_2_%\rho_1492*gamma_{%\rho_1490,%eta_1092,%eta_1046}*gamma_{+%\rho_1492,%eta_1091,%eta_1092}*gamma_{%\sigma_3724,%eta_1045,%eta_1091}*A_{k_553,+%\rho_1490}(p_1)*A_{l_553,+%\sigma_3724}(p_2)*mu_{i_555,%eta_1045}(p_3)_u^(*)*mu_{j_555,%eta_1046}(p_4)_v + (-2)*p_3_%\sigma_3724*gamma_{%\rho_1490,%eta_1054,%eta_1055}*A_{k_553,+%\rho_1490}(p_1)*A_{l_553,+%\sigma_3724}(p_2)*mu_{i_555,%eta_1054}(p_3)_u^(*)*mu_{j_555,%eta_1055}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  A_\tau_1860(X)  to  mu_eps_898(X)  AntiPart mu_eta_1232(X)^(*) : Vertex V_1:A(X_2), AntiPart mu(X_4),  OffShell mu(V_1), Vertex V_0:A(X_1), mu(X_3), AntiPart  OffShell mu(V_0), : 1/2*i*e^2*(p_2_%\nu_1616*gamma_{+%\nu_1616,%eta_1169,%eta_1170}*gamma_{%\rho_1533,%eta_1120,%eta_1169}*gamma_{%\sigma_3743,%eta_1170,%eta_1121}*A_{k_553,+%\rho_1533}(p_1)*A_{l_553,+%\sigma_3743}(p_2)*mu_{i_555,%eta_1120}(p_3)_u^(*)*mu_{j_555,%eta_1121}(p_4)_v + (-2)*p_4_%\sigma_3743*gamma_{%\rho_1533,%eta_1129,%eta_1130}*A_{k_553,+%\rho_1533}(p_1)*A_{l_553,+%\sigma_3743}(p_2)*mu_{i_555,%eta_1129}(p_3)_u^(*)*mu_{j_555,%eta_1130}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  A_\tau_1860(X)  to  AntiPart mu_gam_4433(X)^(*)  mu_del_2369(X) : Vertex V_0:A(X_2), mu(X_4), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_1), AntiPart mu(X_3),  OffShell mu(V_1), : -1/2*i*e^2*(p_2_%\nu_1703*gamma_{%\lambda_1750,%eta_1741,%gam_4356}*gamma_{+%\nu_1703,%eta_1740,%eta_1741}*gamma_{%\tau_1902,%eta_1715,%eta_1740}*A_{l_583,+%\tau_1902}(p_2)*A_{k_583,+%\lambda_1750}(p_1)*mu_{i_585,%gam_4356}(p_3)_v*mu_{j_585,%eta_1715}(p_4)_u^(*) + (-2)*p_4_%\tau_1902*gamma_{%\lambda_1750,%eta_1723,%gam_4359}*A_{l_583,+%\tau_1902}(p_2)*A_{k_583,+%\lambda_1750}(p_1)*mu_{i_585,%gam_4359}(p_3)_v*mu_{j_585,%eta_1723}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  A_\tau_1860(X)  to  AntiPart mu_gam_4433(X)^(*)  mu_del_2369(X) : Vertex V_1:A(X_2), AntiPart mu(X_3),  OffShell mu(V_1), Vertex V_0:A(X_1), mu(X_4), AntiPart  OffShell mu(V_0), : 1/2*i*e^2*(p_2_%\mu_1609*gamma_{%\lambda_1785,%eta_1762,%eta_1789}*gamma_{+%\mu_1609,%eta_1789,%eta_1790}*gamma_{%\tau_1928,%eta_1790,%gam_4389}*A_{l_583,+%\tau_1928}(p_2)*A_{k_583,+%\lambda_1785}(p_1)*mu_{i_585,%gam_4389}(p_3)_v*mu_{j_585,%eta_1762}(p_4)_u^(*) + (-2)*p_3_%\tau_1928*gamma_{%\lambda_1785,%eta_1768,%gam_4392}*A_{l_583,+%\tau_1928}(p_2)*A_{k_583,+%\lambda_1785}(p_1)*mu_{i_585,%gam_4392}(p_3)_v*mu_{j_585,%eta_1768}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  AntiPart A_\lambda_2114(X)  to  mu_beta_643(X)  AntiPart mu_gam_4683(X)^(*) : Vertex V_1:A(X_2), mu(X_3), AntiPart  OffShell mu(V_1), Vertex V_0:A(X_1), AntiPart mu(X_4),  OffShell mu(V_0), : -1/2*i*e^2*(p_2_%\rho_1778*gamma_{%\lambda_2004,%eta_2205,%gam_4606}*gamma_{+%\rho_1778,%eta_2204,%eta_2205}*gamma_{%\sigma_3968,%eta_2181,%eta_2204}*A_{l_617,+%\sigma_3968}(p_2)*A_{k_617,+%\lambda_2004}(p_1)*mu_{j_619,%gam_4606}(p_4)_v*mu_{i_619,%eta_2181}(p_3)_u^(*) + (-2)*p_3_%\sigma_3968*gamma_{%\lambda_2004,%eta_2187,%gam_4609}*A_{l_617,+%\sigma_3968}(p_2)*A_{k_617,+%\lambda_2004}(p_1)*mu_{j_619,%gam_4609}(p_4)_v*mu_{i_619,%eta_2187}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  AntiPart A_\lambda_2114(X)  to  mu_beta_643(X)  AntiPart mu_gam_4683(X)^(*) : Vertex V_0:A(X_2), AntiPart mu(X_4),  OffShell mu(V_0), Vertex V_1:A(X_1), mu(X_3), AntiPart  OffShell mu(V_1), : 1/2*i*e^2*(p_2_%\nu_1823*gamma_{%\lambda_2039,%eta_2226,%eta_2255}*gamma_{+%\nu_1823,%eta_2255,%eta_2256}*gamma_{%\sigma_3987,%eta_2256,%gam_4639}*A_{l_617,+%\sigma_3987}(p_2)*A_{k_617,+%\lambda_2039}(p_1)*mu_{j_619,%gam_4639}(p_4)_v*mu_{i_619,%eta_2226}(p_3)_u^(*) + (-2)*p_4_%\sigma_3987*gamma_{%\lambda_2039,%eta_2234,%gam_4642}*A_{l_617,+%\sigma_3987}(p_2)*A_{k_617,+%\lambda_2039}(p_1)*mu_{j_619,%gam_4642}(p_4)_v*mu_{i_619,%eta_2234}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  AntiPart A_\lambda_2114(X)  to  AntiPart mu_beta_763(X)^(*)  mu_gam_4995(X) : Vertex V_1:A(X_2), AntiPart mu(X_3),  OffShell mu(V_1), Vertex V_0:A(X_1), mu(X_4), AntiPart  OffShell mu(V_0), : 1/2*i*e^2*(p_2_%\lambda_2252*gamma_{%\lambda_2248,%gam_4881,%gam_4912}*gamma_{%\lambda_2250,%gam_4913,%beta_708}*gamma_{+%\lambda_2252,%gam_4912,%gam_4913}*A_{l_647,+%\lambda_2250}(p_2)*A_{k_647,+%\lambda_2248}(p_1)*mu_{i_649,%beta_708}(p_3)_v*mu_{j_649,%gam_4881}(p_4)_u^(*) + (-2)*p_3_%\lambda_2250*gamma_{%\lambda_2248,%gam_4887,%beta_711}*A_{l_647,+%\lambda_2250}(p_2)*A_{k_647,+%\lambda_2248}(p_1)*mu_{i_649,%beta_711}(p_3)_v*mu_{j_649,%gam_4887}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_1692(X)  AntiPart A_\lambda_2114(X)  to  AntiPart mu_beta_763(X)^(*)  mu_gam_4995(X) : Vertex V_0:A(X_2), mu(X_4), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_1), AntiPart mu(X_3),  OffShell mu(V_1), : -1/2*i*e^2*(p_2_%\sigma_4145*gamma_{%\lambda_2312,%gam_4931,%gam_4968}*gamma_{%\lambda_2314,%gam_4969,%beta_737}*gamma_{+%\sigma_4145,%gam_4968,%gam_4969}*A_{l_647,+%\lambda_2312}(p_2)*A_{k_647,+%\lambda_2314}(p_1)*mu_{i_649,%beta_737}(p_3)_v*mu_{j_649,%gam_4931}(p_4)_u^(*) + (-2)*p_4_%\lambda_2312*gamma_{%\lambda_2314,%gam_4937,%beta_740}*A_{l_647,+%\lambda_2312}(p_2)*A_{k_647,+%\lambda_2314}(p_1)*mu_{i_649,%beta_740}(p_3)_v*mu_{j_649,%gam_4937}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  A_\lambda_2751(X)  to  mu_alpha_1455(X)  AntiPart mu_beta_1003(X)^(*) : Vertex V_0:A(X_2), mu(X_3), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_1), AntiPart mu(X_4),  OffShell mu(V_1), : -1/2*i*e^2*(p_2_%\nu_1972*gamma_{%\nu_1970,%eta_2831,%beta_950}*gamma_{+%\nu_1972,%eta_2830,%eta_2831}*gamma_{%\rho_1945,%eta_2807,%eta_2830}*A_{l_681,+%\rho_1945}(p_2)*A_{k_681,+%\nu_1970}(p_1)*mu_{i_683,%eta_2807}(p_3)_u^(*)*mu_{j_683,%beta_950}(p_4)_v + (-2)*p_3_%\rho_1945*gamma_{%\nu_1970,%eta_2813,%beta_953}*A_{l_681,+%\rho_1945}(p_2)*A_{k_681,+%\nu_1970}(p_1)*mu_{i_683,%eta_2813}(p_3)_u^(*)*mu_{j_683,%beta_953}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  A_\lambda_2751(X)  to  mu_alpha_1455(X)  AntiPart mu_beta_1003(X)^(*) : Vertex V_1:A(X_2), AntiPart mu(X_4),  OffShell mu(V_1), Vertex V_0:A(X_1), mu(X_3), AntiPart  OffShell mu(V_0), : 1/2*i*e^2*(p_2_%\mu_1828*gamma_{+%\mu_1828,%eta_2881,%eta_2882}*gamma_{%\nu_2014,%eta_2850,%eta_2881}*gamma_{%\rho_1964,%eta_2882,%beta_982}*A_{l_681,+%\rho_1964}(p_2)*A_{k_681,+%\nu_2014}(p_1)*mu_{i_683,%eta_2850}(p_3)_u^(*)*mu_{j_683,%beta_982}(p_4)_v + (-2)*p_4_%\rho_1964*gamma_{%\nu_2014,%eta_2858,%beta_985}*A_{l_681,+%\rho_1964}(p_2)*A_{k_681,+%\nu_2014}(p_1)*mu_{i_683,%eta_2858}(p_3)_u^(*)*mu_{j_683,%beta_985}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  A_\lambda_2751(X)  to  AntiPart mu_eps_1212(X)^(*)  mu_eta_3460(X) : Vertex V_1:A(X_2), mu(X_4), AntiPart  OffShell mu(V_1), Vertex V_0:A(X_1), AntiPart mu(X_3),  OffShell mu(V_0), : -1/2*i*e^2*(p_2_%\mu_1915*gamma_{%\lambda_2812,%eta_3304,%eta_3341}*gamma_{+%\mu_1915,%eta_3341,%eta_3342}*gamma_{%\sigma_4305,%eta_3342,%eps_1147}*A_{l_711,+%\lambda_2812}(p_2)*A_{k_711,+%\sigma_4305}(p_1)*mu_{j_713,%eta_3304}(p_4)_u^(*)*mu_{i_713,%eps_1147}(p_3)_v + (-2)*p_4_%\lambda_2812*gamma_{%\sigma_4305,%eta_3310,%eps_1150}*A_{l_711,+%\lambda_2812}(p_2)*A_{k_711,+%\sigma_4305}(p_1)*mu_{j_713,%eta_3310}(p_4)_u^(*)*mu_{i_713,%eps_1150}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  A_\lambda_2751(X)  to  AntiPart mu_eps_1212(X)^(*)  mu_eta_3460(X) : Vertex V_0:A(X_2), AntiPart mu(X_3),  OffShell mu(V_0), Vertex V_1:A(X_1), mu(X_4), AntiPart  OffShell mu(V_1), : 1/2*i*e^2*(p_2_%\tau_2273*gamma_{%\lambda_2845,%eta_3398,%eps_1182}*gamma_{%\sigma_4341,%eta_3364,%eta_3397}*gamma_{+%\tau_2273,%eta_3397,%eta_3398}*A_{l_711,+%\lambda_2845}(p_2)*A_{k_711,+%\sigma_4341}(p_1)*mu_{j_713,%eta_3364}(p_4)_u^(*)*mu_{i_713,%eps_1182}(p_3)_v + (-2)*p_3_%\lambda_2845*gamma_{%\sigma_4341,%eta_3370,%eps_1185}*A_{l_711,+%\lambda_2845}(p_2)*A_{k_711,+%\sigma_4341}(p_1)*mu_{j_713,%eta_3370}(p_4)_u^(*)*mu_{i_713,%eps_1185}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  AntiPart A_\sigma_4583(X)  to  mu_eta_3968(X)  AntiPart mu_alpha_1803(X)^(*) : Vertex V_1:A(X_2), AntiPart mu(X_4),  OffShell mu(V_1), Vertex V_0:A(X_1), mu(X_3), AntiPart  OffShell mu(V_0), : 1/2*i*e^2*(p_2_%\nu_2264*gamma_{+%\nu_2264,%eta_3845,%eta_3846}*gamma_{%\rho_2173,%eta_3846,%alpha_1674}*gamma_{%\sigma_4512,%eta_3812,%eta_3845}*A_{l_745,+%\rho_2173}(p_2)*A_{k_745,+%\sigma_4512}(p_1)*mu_{j_747,%alpha_1674}(p_4)_v*mu_{i_747,%eta_3812}(p_3)_u^(*) + (-2)*p_4_%\rho_2173*gamma_{%\sigma_4512,%eta_3818,%alpha_1677}*A_{l_745,+%\rho_2173}(p_2)*A_{k_745,+%\sigma_4512}(p_1)*mu_{j_747,%alpha_1677}(p_4)_v*mu_{i_747,%eta_3818}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_4260(X)  AntiPart A_\sigma_4583(X)  to  mu_eta_3968(X)  AntiPart mu_alpha_1803(X)^(*) : Vertex V_0:A(X_2), mu(X_3), AntiPart  OffShell mu(V_0), Vertex V_1:A(X_1), AntiPart mu(X_4),  OffShell mu(V_1), : -1/2*i*e^2*(p_2_%\mu_2031*gamma_{+%\mu_2031,%eta_3905,%eta_3906}*gamma_{%\rho_2198,%eta_3866,%eta_3905}*gamma_{%\sigma_4548,%eta_3906,%alpha_1716}*A_{l_745,+%\rho_2198}(p_2)*A_{k_745,+%\sigma_4548}(p_1)*mu_{j_747,%alpha_1716}(p_4)_v*mu_{i_747,%eta_3866}(p_3)_u^(*) + (-2)*p_3_%\rho_2198*gamma_{%\sigma_4548,%eta_3872,%alpha_1719}*A_{l_745,+%\rho_2198}(p_2)*A_{k_745,+%\sigma_4548}(p_1)*mu_{j_747,%alpha_1719}(p_4)_v*mu_{i_747,%eta_3872}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
