interaction,topology,amplitude,squared_amplitude
c_alpha_2304(X)^(*)  A_\sigma_8326(X)  to  c_beta_1880(X)  AntiPart A_\sigma_8437(X),"Vertex V_0:A(X_2), c(X_3), AntiPart  OffShell c(V_0), Vertex V_1:c(X_1), A(X_4),  OffShell c(V_1),","4/9*i*e^2*(p_1_%\rho_8566*gamma_{%\sigma_8408,%eta_3482,%alpha_2616}*A_{j_3155,+%\rho_8566}(p_4)^(*)*A_{l_3153,+%\sigma_8408}(p_2)*c_{i_3155,%eta_3482}(p_3)_u^(*)*c_{k_3153,%alpha_2616}(p_1)_u + -1/2*p_4_%\mu_8389*gamma_{+%\mu_8389,%eta_3508,%eta_3509}*gamma_{%\rho_8566,%eta_3509,%alpha_2618}*gamma_{%\sigma_8408,%eta_3485,%eta_3508}*A_{j_3155,+%\rho_8566}(p_4)^(*)*A_{l_3153,+%\sigma_8408}(p_2)*c_{i_3155,%eta_3485}(p_3)_u^(*)*c_{k_3153,%alpha_2618}(p_1)_u)/(s_23 + -1/2*reg_prop)",32/81*e^4*s_14*s_34*(s_23 + -1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + -1/16*i*e^2*m_c^2*(16*s_14 + (-8)*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
AntiPart s_eps_2215(X)  AntiPart c_eps_2221(X)  to  AntiPart s_eta_3056(X)^(*)  AntiPart c_alpha_2308(X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart s(X_1), AntiPart s(X_3),  OffShell A(V_0),","1/9*i*e^2*gamma_{%\rho_8076,%eta_3053,%gam_2548}*gamma_{+%\rho_8076,%eta_3054,%del_2339}*c_{j_2948,%del_2339}(p_4)_v*c_{l_2946,%eta_3054}(p_2)_v^(*)*s_{k_2946,%eta_3053}(p_1)_v^(*)*s_{i_2948,%gam_2548}(p_3)_v/(m_s^2 + -s_13 + 1/2*reg_prop)",1/81*e^4*(16*m_c^2*m_s^2 + (-8)*m_c^2*s_13 + 8*s_14*s_23 + (-8)*m_s^2*s_24 + 8*s_12*s_34)*(m_s^2 + -s_13 + 1/2*reg_prop)^(-2)
t_eps_5531(X)^(*)  AntiPart b_gam_6832(X)  to  t_del_6145(X)  AntiPart b_eps_5544(X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell A(V_0),","-1/6*i*e^2*gamma_{+%\tau_21503,%gam_6829,%eps_5541}*gamma_{%\tau_21503,%gam_6830,%del_6143}*b_{j_8034,%del_6143}(p_4)_v*b_{l_8032,%gam_6830}(p_2)_v^(*)*t_{k_8032,%eps_5541}(p_1)_u*t_{i_8034,%gam_6829}(p_3)_u^(*)/(m_t^2 + -s_13 + 1/2*reg_prop)",1/36*e^4*(16*m_b^2*m_t^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_t^2*s_24 + 8*s_12*s_34)*(m_t^2 + -s_13 + 1/2*reg_prop)^(-2)
"AntiPart d_{G_4253,alpha_2961}(X)  AntiPart G_{a_375,\lambda_11431}(X)  to  AntiPart d_{H_4394,eta_22359}(X)^(*)  AntiPart G_{b_1365,\tau_12350}(X)","Vertex V_1:AntiPart d(X_3), G(X_4),  OffShell d(V_1), Vertex V_0:G(X_2), AntiPart d(X_1), AntiPart  OffShell d(V_0),","i*g^2*(p_3_%\rho_15841*gamma_{%\nu_12891,%eta_22308,%alpha_3543}*T_C_10_{%g_12261,%G_6830,%D_23845}*T_C_10_{%h_3155,%D_23845,%G_6831}*G_{k_3791,%h_3155,+%\rho_15841}(p_4)^(*)*G_{i_3755,%g_12261,+%\nu_12891}(p_2)*d_{j_3771,%G_6831,%alpha_3543}(p_3)_v*d_{l_3733,%G_6830,%eta_22308}(p_1)_v^(*) + 1/2*p_4_%\nu_12893*gamma_{%\nu_12891,%eta_22311,%eta_22338}*gamma_{+%\nu_12893,%eta_22338,%eta_22339}*gamma_{%\rho_15841,%eta_22339,%alpha_3545}*T_C_10_{%g_12262,%G_6832,%D_23846}*T_C_10_{%h_3156,%D_23846,%G_6833}*G_{k_3791,%h_3156,+%\rho_15841}(p_4)^(*)*G_{i_3755,%g_12262,+%\nu_12891}(p_2)*d_{j_3771,%G_6833,%alpha_3545}(p_3)_v*d_{l_3733,%G_6832,%eta_22311}(p_1)_v^(*))/(s_12 + 1/2*reg_prop)",4/9*g^4*s_14*s_34*(s_12 + 1/2*reg_prop)^(-2) + -8/9*i*g^2*(i*g^2*m_d^2*(m_d^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + -1/2*i*g^2*m_d^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
AntiPart tt_eps_2287(X)  AntiPart b_eps_2293(X)  to  AntiPart tt_eta_2401(X)^(*)  AntiPart b_alpha_2171(X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart tt(X_1), AntiPart tt(X_3),  OffShell A(V_0),","1/9*i*e^2*gamma_{+%\tau_8029,%gam_3345,%gam_3346}*gamma_{%\tau_8029,%gam_3347,%del_2601}*b_{l_3066,%gam_3347}(p_2)_v^(*)*b_{j_3068,%del_2601}(p_4)_v*tt_{k_3066,%gam_3345}(p_1)_v^(*)*tt_{i_3068,%gam_3346}(p_3)_v/(m_tt^2 + -s_13 + 1/2*reg_prop)",1/81*e^4*(16*m_b^2*m_tt^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_tt^2*s_24 + 8*s_12*s_34)*(m_tt^2 + -s_13 + 1/2*reg_prop)^(-2)
AntiPart mu_gam_2858(X)  AntiPart d_gam_2894(X)  to  AntiPart mu_del_2708(X)^(*)  AntiPart d_eps_2686(X)^(*),"Vertex V_1:AntiPart d(X_2), AntiPart d(X_4),  OffShell A(V_1), Vertex V_0:AntiPart mu(X_1), AntiPart mu(X_3),  OffShell A(V_0),","-1/6*i*e^2*gamma_{+%\nu_9442,%gam_2890,%alpha_2879}*gamma_{%\nu_9442,%gam_2891,%del_2706}*d_{l_3560,%gam_2891}(p_2)_v^(*)*d_{j_3562,%del_2706}(p_4)_v*mu_{i_3562,%alpha_2879}(p_3)_v*mu_{k_3560,%gam_2890}(p_1)_v^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop)",1/36*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
mu_alpha_7824(X)^(*)  A_\sigma_27304(X)  to  mu_beta_6994(X)  A_\lambda_27634(X),"Vertex V_0:A(X_2), mu(X_3), AntiPart  OffShell mu(V_0), Vertex V_1:mu(X_1), A(X_4),  OffShell mu(V_1),","i*e^2*(p_1_%\rho_27358*gamma_{%\nu_27423,%eta_8450,%alpha_7709}*A_{j_10601,+%\rho_27358}(p_4)^(*)*A_{l_10599,+%\nu_27423}(p_2)*mu_{i_10601,%eta_8450}(p_3)_u^(*)*mu_{k_10599,%alpha_7709}(p_1)_u + -1/2*p_4_%\nu_27425*gamma_{%\nu_27423,%eta_8453,%eta_8474}*gamma_{+%\nu_27425,%eta_8474,%eta_8475}*gamma_{%\rho_27358,%eta_8475,%alpha_7711}*A_{j_10601,+%\rho_27358}(p_4)^(*)*A_{l_10599,+%\nu_27423}(p_2)*mu_{i_10601,%eta_8453}(p_3)_u^(*)*mu_{k_10599,%alpha_7711}(p_1)_u)/(s_23 + -1/2*reg_prop)",2*e^4*s_14*s_34*(s_23 + -1/2*reg_prop)^(-2) + (-4)*i*e^2*(i*e^2*m_mu^2*(m_mu^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + -1/16*i*e^2*m_mu^2*(16*s_14 + (-8)*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
AntiPart tt_del_4332(X)  A_\nu_11922(X)  to  AntiPart tt_eps_3159(X)^(*)  AntiPart A_\nu_11983(X),"Vertex V_0:AntiPart tt(X_1), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1),","-4/9*i*e^2*(p_1_%\sigma_13611*gamma_{%\sigma_13613,%gam_6183,%eps_3380}*A_{j_4577,+%\sigma_13611}(p_4)^(*)*A_{l_4575,+%\sigma_13613}(p_2)*tt_{k_4575,%gam_6183}(p_1)_v^(*)*tt_{i_4577,%eps_3380}(p_3)_v + -1/2*p_4_%\lambda_11988*gamma_{+%\lambda_11988,%gam_6215,%gam_6216}*gamma_{%\sigma_13611,%gam_6186,%gam_6215}*gamma_{%\sigma_13613,%gam_6216,%eps_3382}*A_{j_4577,+%\sigma_13611}(p_4)^(*)*A_{l_4575,+%\sigma_13613}(p_2)*tt_{k_4575,%gam_6186}(p_1)_v^(*)*tt_{i_4577,%eps_3382}(p_3)_v)/(s_23 + -1/2*reg_prop)",32/81*e^4*s_14*s_34*(s_23 + -1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_tt^2*(m_tt^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + -1/16*i*e^2*m_tt^2*(16*s_14 + (-8)*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
mu_eps_1732(X)^(*)  u_eta_2327(X)^(*)  to  mu_alpha_1799(X)  u_beta_1482(X),"Vertex V_0:mu(X_3), mu(X_1),  OffShell A(V_0), Vertex V_1:u(X_2), u(X_4),  OffShell A(V_1),","1/3*i*e^2*gamma_{%\mu_5531,%eta_2325,%beta_1479}*gamma_{+%\mu_5531,%gam_1838,%alpha_1796}*u_{l_2115,%beta_1479}(p_2)_u*u_{j_2117,%eta_2325}(p_4)_u^(*)*mu_{i_2117,%gam_1838}(p_3)_u^(*)*mu_{k_2115,%alpha_1796}(p_1)_u/(m_mu^2 + -s_13 + 1/2*reg_prop)",1/9*e^4*(16*m_u^2*m_mu^2 + (-8)*m_u^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
e_alpha_1397(X)^(*)  AntiPart t_eps_1545(X)  to  e_eta_1522(X)  AntiPart t_alpha_1405(X)^(*),"Vertex V_1:AntiPart t(X_2), AntiPart t(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), e(X_3),  OffShell A(V_0),","-1/2*i*e^2*gamma_{+%\tau_4886,%gam_2373,%del_1827}*gamma_{%\tau_4886,%gam_2374,%del_1828}*e_{i_1850,%gam_2373}(p_3)_u^(*)*e_{k_1848,%del_1827}(p_1)_u*t_{j_1850,%del_1828}(p_4)_v*t_{l_1848,%gam_2374}(p_2)_v^(*)/(m_e^2 + -s_13 + 1/2*reg_prop)",1/4*e^4*(16*m_e^2*m_t^2 + (-8)*m_t^2*s_13 + 8*s_14*s_23 + (-8)*m_e^2*s_24 + 8*s_12*s_34)*(m_e^2 + -s_13 + 1/2*reg_prop)^(-2)
AntiPart t_eta_6871(X)  AntiPart A_\sigma_24800(X)  to  AntiPart t_eps_6600(X)^(*)  AntiPart A_\lambda_24781(X),"Vertex V_0:AntiPart t(X_1), A(X_4), AntiPart  OffShell t(V_0), Vertex V_1:A(X_2), AntiPart t(X_3),  OffShell t(V_1),","-i*e^2*(p_1_%\tau_27139*gamma_{%\tau_27141,%gam_10280,%eta_7038}*A_{l_9589,+%\tau_27141}(p_2)*A_{j_9591,+%\tau_27139}(p_4)^(*)*t_{i_9591,%eta_7038}(p_3)_v*t_{k_9589,%gam_10280}(p_1)_v^(*) + -1/2*p_4_%\nu_24604*gamma_{+%\nu_24604,%gam_10312,%gam_10313}*gamma_{%\tau_27139,%gam_10283,%gam_10312}*gamma_{%\tau_27141,%gam_10313,%eta_7040}*A_{l_9589,+%\tau_27141}(p_2)*A_{j_9591,+%\tau_27139}(p_4)^(*)*t_{i_9591,%eta_7040}(p_3)_v*t_{k_9589,%gam_10283}(p_1)_v^(*))/(s_23 + -1/2*reg_prop)",2*e^4*s_14*s_34*(s_23 + -1/2*reg_prop)^(-2) + (-4)*i*e^2*(i*e^2*m_t^2*(m_t^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + -1/16*i*e^2*m_t^2*(16*s_14 + (-8)*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
s_eps_423(X)^(*)  AntiPart s_eta_898(X)  to  A_\sigma_1213(X)  AntiPart A_\lambda_1147(X),"Vertex V_0:AntiPart s(X_2), A(X_3), AntiPart  OffShell s(V_0), Vertex V_1:s(X_1), A(X_4),  OffShell s(V_1),","1/9*i*e^2*(p_1_%\rho_1233*gamma_{%\rho_1231,%eta_781,%eps_369}*A_{i_389,+%\rho_1231}(p_3)^(*)*A_{j_389,+%\rho_1233}(p_4)^(*)*s_{k_387,%eps_369}(p_1)_u*s_{l_387,%eta_781}(p_2)_v^(*) + -1/2*p_4_%\nu_1129*gamma_{+%\nu_1129,%eta_811,%eta_812}*gamma_{%\rho_1231,%eta_784,%eta_811}*gamma_{%\rho_1233,%eta_812,%eps_371}*A_{i_389,+%\rho_1231}(p_3)^(*)*A_{j_389,+%\rho_1233}(p_4)^(*)*s_{k_387,%eps_371}(p_1)_u*s_{l_387,%eta_784}(p_2)_v^(*))/(s_23 + -1/2*reg_prop)",1/81*e^4*s_14*s_24*(s_23 + -1/2*reg_prop)^(-2) + 2/81*i*e^2*(i*e^2*m_s^2*(m_s^2 + 1/2*s_12)/(s_23 + -1/2*reg_prop) + -1/16*i*e^2*m_s^2*(16*s_14 + 8*s_24)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
mu_eps_6297(X)^(*)  b_eta_7511(X)^(*)  to  mu_alpha_6780(X)  b_beta_6158(X),"Vertex V_1:b(X_2), b(X_4),  OffShell A(V_1), Vertex V_0:mu(X_1), mu(X_3),  OffShell A(V_0),","-1/6*i*e^2*gamma_{+%\tau_23628,%gam_6708,%alpha_6777}*gamma_{%\tau_23628,%gam_6709,%del_6357}*b_{l_9185,%del_6357}(p_2)_u*b_{j_9187,%gam_6709}(p_4)_u^(*)*mu_{k_9185,%alpha_6777}(p_1)_u*mu_{i_9187,%gam_6708}(p_3)_u^(*)/(m_mu^2 + -s_13 + 1/2*reg_prop)",1/36*e^4*(16*m_b^2*m_mu^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + -s_13 + 1/2*reg_prop)^(-2)
"c_{A_61,eps_25}(X)^(*)  AntiPart c_{B_61,eta_95}(X)  to  u_{C_43,alpha_79}(X)  AntiPart u_{D_47,beta_25}(X)^(*)","Vertex V_1:u(X_3), AntiPart u(X_4),  OffShell G(V_1), Vertex V_0:c(X_1), AntiPart c(X_2),  OffShell G(V_0),","-1/4*i*g^2*gamma_{+%\sigma_129,%gam_109,%gam_110}*gamma_{%\sigma_129,%gam_111,%eta_84}*(c_{k_3,%D_48,%gam_109}(p_2)_v^(*)*c_{i_3,%C_44,%gam_110}(p_1)_u*u_{l_3,%C_44,%gam_111}(p_3)_u^(*)*u_{j_5,%D_48,%eta_84}(p_4)_v + -1/3*c_{k_3,%F_44,%gam_109}(p_2)_v^(*)*c_{i_3,%F_44,%gam_110}(p_1)_u*u_{l_3,%D_49,%gam_111}(p_3)_u^(*)*u_{j_5,%D_49,%eta_84}(p_4)_v)/(m_c^2 + s_12 + 1/2*reg_prop)",-1/144*g^4*((-16)*m_c^2*m_u^2 + (-8)*m_u^2*s_12 + (-8)*s_14*s_23 + (-8)*s_13*s_24 + (-8)*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2) + 1/16*i*g^2*(i*g^2*((-16)*m_c^2*m_u^2 + (-8)*m_u^2*s_12 + (-8)*s_14*s_23 + (-8)*s_13*s_24 + (-8)*m_c^2*s_34)/(m_c^2 + s_12 + 1/2*reg_prop) + 32/9*i*g^2*(m_c^2*m_u^2 + 1/2*m_u^2*s_12 + 1/2*s_14*s_23 + 1/2*s_13*s_24 + 1/2*m_c^2*s_34)/(m_c^2 + s_12 + 1/2*reg_prop))/(m_c^2 + s_12 + 1/2*reg_prop)
AntiPart t_gam_1655(X)  AntiPart u_gam_1686(X)  to  AntiPart t_del_1136(X)^(*)  AntiPart u_eps_1007(X)^(*),"Vertex V_1:AntiPart u(X_2), AntiPart u(X_4),  OffShell A(V_1), Vertex V_0:AntiPart t(X_1), AntiPart t(X_3),  OffShell A(V_0),","1/3*i*e^2*gamma_{+%\tau_3170,%eta_1051,%beta_799}*gamma_{%\tau_3170,%gam_1683,%del_1134}*t_{i_982,%del_1134}(p_3)_v*t_{k_980,%gam_1683}(p_1)_v^(*)*u_{j_982,%beta_799}(p_4)_v*u_{l_980,%eta_1051}(p_2)_v^(*)/(m_t^2 + -s_13 + 1/2*reg_prop)",1/9*e^4*(16*m_t^2*m_u^2 + (-8)*m_u^2*s_13 + 8*s_14*s_23 + (-8)*m_t^2*s_24 + 8*s_12*s_34)*(m_t^2 + -s_13 + 1/2*reg_prop)^(-2)
"u_{E_988,alpha_1178}(X)^(*)  AntiPart t_{E_998,eps_3894}(X)  to  u_{F_855,eta_1856}(X)  AntiPart t_{G_1016,alpha_1191}(X)^(*)","Vertex V_1:AntiPart t(X_2), AntiPart t(X_4),  OffShell G(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell G(V_0),","1/12*i*g^2*gamma_{+%\sigma_8520,%eta_1845,%del_2775}*gamma_{%\sigma_8520,%gam_6254,%del_2776}*(t_{i_1681,%D_5451,%eta_1845}(p_2)_v^(*)*t_{k_1685,%D_5451,%del_2775}(p_4)_v*u_{l_1679,%C_3714,%del_2776}(p_1)_u*u_{j_1685,%C_3714,%gam_6254}(p_3)_u^(*) + (-3)*t_{i_1681,%E_999,%eta_1845}(p_2)_v^(*)*t_{k_1685,%C_3715,%del_2775}(p_4)_v*u_{l_1679,%E_999,%del_2776}(p_1)_u*u_{j_1685,%C_3715,%gam_6254}(p_3)_u^(*))/(m_u^2 + -s_13 + 1/2*reg_prop)",-1/16*g^4*((-16)*m_t^2*m_u^2 + 8*m_t^2*s_13 + (-8)*s_14*s_23 + 8*m_u^2*s_24 + (-8)*s_12*s_34)*(m_u^2 + -s_13 + 1/2*reg_prop)^(-2) + 1/144*i*g^2*(i*g^2*((-16)*m_t^2*m_u^2 + 8*m_t^2*s_13 + (-8)*s_14*s_23 + 8*m_u^2*s_24 + (-8)*s_12*s_34)/(m_u^2 + -s_13 + 1/2*reg_prop) + 32*i*g^2*(m_t^2*m_u^2 + -1/2*m_t^2*s_13 + 1/2*s_14*s_23 + -1/2*m_u^2*s_24 + 1/2*s_12*s_34)/(m_u^2 + -s_13 + 1/2*reg_prop))/(m_u^2 + -s_13 + 1/2*reg_prop)
